Timestamp (s),Classification
0.0,1
0.07,1
0.13,1
0.2,1
0.27,1
0.34,1
0.4,1
0.47,1
0.54,1
0.61,1
0.67,0
0.74,1
0.81,1
0.88,-1
0.94,-1
1.01,-1
1.08,1
1.14,0
1.21,0
1.28,1
1.35,1
1.41,1
1.48,1
1.55,1
1.62,1
1.68,1
1.75,1
1.82,1
1.89,1
1.95,0
2.02,0
2.09,1
2.15,1
2.22,1
2.29,1
2.36,1
2.42,1
2.49,0
2.56,0
2.63,1
2.69,1
2.76,-1
2.83,-1
2.9,1
2.96,0
3.03,0
3.1,1
3.16,1
3.23,1
3.3,1
3.37,0
3.43,0
3.5,1
3.57,0
3.64,0
3.7,0
3.77,1
3.84,1
3.91,1
3.97,1
4.04,1
4.11,1
4.17,1
4.24,1
4.31,1
4.38,1
4.44,0
4.51,1
4.58,1
4.65,1
4.71,1
4.78,0
4.85,1
4.92,0
4.98,1
5.05,1
5.12,1
5.18,0
5.25,0
5.32,1
5.39,1
5.45,0
5.52,1
5.59,1
5.66,1
5.72,1
5.79,1
5.86,1
5.93,1
5.99,1
6.06,1
6.13,1
6.2,-1
6.26,-1
6.33,1
6.4,1
6.46,-1
6.53,-1
6.6,-1
6.67,-1
6.73,-1
6.8,-1
6.87,1
6.94,1
7.0,1
7.07,1
7.14,1
7.21,1
7.27,1
7.34,1
7.41,1
7.47,0
7.54,1
7.61,0
7.68,0
7.74,1
7.81,1
7.88,1
7.95,1
8.01,0
8.08,0
8.15,1
8.22,1
8.28,1
8.35,1
8.42,1
8.48,1
8.55,1
8.62,1
8.69,1
8.75,1
8.82,1
8.89,1
8.96,1
9.02,1
9.09,0
9.16,0
9.23,1
9.29,0
9.36,1
9.43,1
9.49,1
9.56,0
9.63,1
9.7,1
9.76,1
9.83,1
9.9,1
9.97,1
10.03,1
10.1,1
10.17,1
10.24,1
10.3,1
10.37,0
