Timestamp (s),Classification
0.0,0
0.07,0
0.13,0
0.2,0
0.27,0
0.34,1
0.4,1
0.47,1
0.54,1
0.61,1
0.67,1
0.74,0
0.81,0
0.88,0
0.94,0
1.01,1
1.08,1
1.14,1
1.21,1
1.28,1
1.35,1
1.41,1
1.48,1
1.55,1
1.62,1
1.68,1
1.75,1
1.82,1
1.88,1
1.95,1
2.02,1
2.09,1
2.15,1
2.22,1
2.29,1
2.36,0
2.42,1
2.49,1
2.56,1
2.63,1
2.69,1
2.76,1
2.83,1
2.89,1
2.96,1
3.03,1
3.1,1
3.16,1
3.23,1
3.3,1
3.37,1
3.43,1
3.5,1
3.57,1
3.63,1
3.7,1
3.77,1
3.84,1
3.9,1
3.97,1
4.04,1
4.11,1
4.17,0
4.24,0
4.31,0
4.38,0
4.44,1
4.51,1
4.58,1
4.64,1
4.71,1
4.78,1
4.85,1
4.91,1
4.98,0
5.05,0
5.12,0
5.18,0
5.25,1
5.32,1
5.38,1
5.45,0
5.52,0
5.59,1
5.65,1
5.72,1
5.79,1
5.86,1
5.92,1
5.99,1
6.06,1
6.13,1
6.19,1
6.26,1
6.33,1
6.39,1
6.46,1
6.53,1
6.6,1
6.66,1
6.73,1
6.8,1
6.87,1
6.93,1
7.0,1
7.07,1
7.14,1
7.2,1
7.27,1
7.34,1
7.4,1
7.47,1
7.54,1
7.61,1
7.67,1
7.74,1
7.81,1
7.88,1
7.94,1
8.01,1
8.08,1
8.14,0
8.21,0
8.28,1
8.35,1
8.41,1
8.48,1
8.55,1
8.62,1
8.68,1
8.75,1
8.82,1
8.89,1
8.95,1
9.02,1
9.09,1
9.15,1
9.22,1
9.29,1
9.36,1
9.42,1
9.49,1
9.56,1
9.63,1
9.69,1
9.76,1
9.83,1
9.89,1
9.96,1
10.03,1
10.1,1
10.16,1
10.23,1
10.3,1
10.37,1
10.43,1
10.5,1
10.57,1
10.64,1
10.7,1
10.77,1
