Timestamp (s),Classification
0.0,0
0.07,0
0.13,1
0.2,1
0.27,1
0.34,1
0.4,1
0.47,1
0.54,1
0.61,1
0.67,1
0.74,1
0.81,1
0.87,1
0.94,1
1.01,1
1.08,1
1.14,1
1.21,1
1.28,1
1.35,1
1.41,0
1.48,0
1.55,1
1.62,1
1.68,1
1.75,1
1.82,1
1.88,1
1.95,1
2.02,1
2.09,1
2.15,1
2.22,1
2.29,1
2.36,1
2.42,1
2.49,1
2.56,1
2.62,1
2.69,1
2.76,1
2.83,1
2.89,1
2.96,1
3.03,1
3.1,1
3.16,1
3.23,1
3.3,1
3.37,1
3.43,0
3.5,0
3.57,0
3.63,0
3.7,1
3.77,1
3.84,1
3.9,1
3.97,1
4.04,1
4.11,1
4.17,1
4.24,1
4.31,1
4.37,1
4.44,1
4.51,1
4.58,1
4.64,1
4.71,1
4.78,1
4.85,1
4.91,1
4.98,1
5.05,1
5.11,1
5.18,1
5.25,1
5.32,1
5.38,1
5.45,1
5.52,1
5.59,1
5.65,1
5.72,1
5.79,1
5.86,1
5.92,1
5.99,1
6.06,1
6.12,1
6.19,1
6.26,1
6.33,1
6.39,1
6.46,1
6.53,1
6.6,1
6.66,1
6.73,1
6.8,1
6.86,1
6.93,0
7.0,0
7.07,0
7.13,0
7.2,0
7.27,0
7.34,1
7.4,1
7.47,1
7.54,1
7.6,1
7.67,1
7.74,1
7.81,1
7.87,1
7.94,1
8.01,1
8.08,1
8.14,1
8.21,1
8.28,0
8.35,0
8.41,0
8.48,0
8.55,0
8.61,1
8.68,0
8.75,0
8.82,0
8.88,0
8.95,0
9.02,0
9.09,0
9.15,1
9.22,1
9.29,0
9.35,0
9.42,1
9.49,0
9.56,1
9.62,0
9.69,0
9.76,0
9.83,0
9.89,0
9.96,0
10.03,0
10.1,0
10.16,0
10.23,0
10.3,0
10.36,0
10.43,0
10.5,0
10.57,0
10.63,0
10.7,0
10.77,0
10.84,0
10.9,0
10.97,0
